,Booking_ID,number of adults,number of children,number of weekend nights,number of week nights,type of meal,car parking space,room type,lead time,market segment type,repeated,P-C,P-not-C,average price ,special requests,date of reservation,booking status,reservation year,total_nights,booking density,avg_price_per_night
13,INN00014,1,0,2,0,Meal Plan 1,0,Room_Type 1,95,Online,0,0,0,90.0,2,2018-11-20,Canceled,2018,2,0.021,45.0
14,INN00015,2,0,0,2,Meal Plan 1,0,Room_Type 1,47,Online,0,0,0,94.5,2,2017-10-20,Not_Canceled,2017,2,0.042,47.25
15,INN00016,2,0,0,2,Meal Plan 2,0,Room_Type 1,256,Online,0,0,0,115.0,1,2018-06-15,Canceled,2018,2,0.008,57.5
16,INN00017,1,0,1,0,Meal Plan 1,0,Room_Type 1,0,Offline,0,0,0,96.0,0,2017-10-05,Not_Canceled,2017,1,1.0,96.0
17,INN00018,2,0,1,3,Not Selected,0,Room_Type 1,1,Online,0,0,0,96.0,1,2017-08-10,Not_Canceled,2017,4,2.0,24.0
18,INN00019,2,0,2,2,Meal Plan 1,0,Room_Type 1,99,Online,0,0,0,65.0,0,2017-10-30,Canceled,2017,4,0.04,16.25
19,INN00020,2,0,1,0,Meal Plan 1,0,Room_Type 1,12,Offline,0,0,0,72.0,0,2017-10-04,Not_Canceled,2017,1,0.077,72.0
20,INN00021,2,0,2,2,Meal Plan 1,0,Room_Type 1,99,Online,0,0,0,65.0,0,2017-10-30,Canceled,2017,4,0.04,16.25
21,INN00022,1,0,0,1,Meal Plan 1,0,Room_Type 1,122,Corporate,0,0,0,67.0,0,2018-11-25,Not_Canceled,2018,1,0.008,67.0
22,INN00023,2,0,2,4,Meal Plan 1,0,Room_Type 1,2,Offline,0,0,0,85.0,0,2018-03-20,Not_Canceled,2018,6,2.0,14.167
23,INN00024,2,0,0,3,Meal Plan 1,0,Room_Type 1,37,Offline,0,0,0,105.0,0,2018-10-13,Not_Canceled,2018,3,0.079,35.0
24,INN00025,2,0,2,1,Not Selected,0,Room_Type 1,130,Online,0,0,0,94.5,1,2018-05-22,Not_Canceled,2018,3,0.023,31.5
25,INN00026,2,0,0,2,Meal Plan 1,0,Room_Type 1,99,Online,0,0,0,114.3,1,2018-04-28,Not_Canceled,2018,2,0.02,57.15
26,INN00027,2,0,1,1,Meal Plan 1,0,Room_Type 1,60,Offline,0,0,0,65.0,0,2017-09-21,Not_Canceled,2017,2,0.033,32.5
27,INN00028,1,0,0,2,Meal Plan 1,0,Room_Type 4,2,Aviation,0,0,0,110.0,0,2018-05-19,Canceled,2018,2,0.667,55.0
28,INN00029,1,0,1,2,Meal Plan 1,0,Room_Type 1,37,Online,0,0,0,37.33,0,2017-11-06,Canceled,2017,3,0.079,12.443
29,INN00030,2,0,0,2,Meal Plan 2,0,Room_Type 1,56,Offline,0,0,0,82.0,0,2017-09-17,Not_Canceled,2017,2,0.035,41.0
30,INN00031,2,0,1,1,Meal Plan 1,0,Room_Type 4,3,Online,0,0,0,177.5,1,2017-09-19,Not_Canceled,2017,2,0.5,88.75
31,INN00032,2,0,2,2,Meal Plan 1,0,Room_Type 1,107,Online,0,0,0,87.5,1,2018-11-13,Not_Canceled,2018,4,0.037,21.875
32,INN00033,0,2,0,3,Meal Plan 1,0,Room_Type 2,56,Online,0,0,0,82.44,1,2018-12-07,Not_Canceled,2018,3,0.053,27.48
33,INN00034,2,0,0,1,Not Selected,0,Room_Type 1,2,Online,0,0,0,69.5,1,2018-01-09,Not_Canceled,2018,1,0.333,69.5
34,INN00035,2,0,0,2,Meal Plan 1,0,Room_Type 1,72,Offline,0,0,0,85.5,0,2018-10-07,Not_Canceled,2018,2,0.027,42.75
35,INN00036,2,0,0,1,Not Selected,1,Room_Type 1,23,Online,0,0,0,115.0,1,2018-04-27,Not_Canceled,2018,1,0.042,115.0
36,INN00037,1,0,2,1,Meal Plan 1,0,Room_Type 1,34,Online,0,0,0,81.0,0,2018-06-19,Canceled,2018,3,0.086,27.0
37,INN00038,2,0,0,1,Meal Plan 1,0,Room_Type 1,289,Offline,0,0,0,67.0,0,2017-10-17,Not_Canceled,2017,1,0.003,67.0
38,INN00039,2,0,2,3,Not Selected,0,Room_Type 1,247,Online,0,0,0,63.75,0,2018-11-19,Canceled,2018,5,0.02,12.75
39,INN00040,2,0,2,1,Meal Plan 1,0,Room_Type 4,186,Online,0,0,0,121.8,1,2018-07-30,Canceled,2018,3,0.016,40.6
40,INN00041,2,0,0,4,Meal Plan 1,0,Room_Type 1,64,Online,0,0,0,93.6,2,2018-11-01,Not_Canceled,2018,4,0.062,23.4
41,INN00042,2,0,0,2,Meal Plan 1,0,Room_Type 1,35,Online,0,0,0,102.0,1,2018-06-21,Not_Canceled,2018,2,0.056,51.0
42,INN00043,3,0,2,1,Meal Plan 1,0,Room_Type 1,96,Online,0,0,0,121.8,1,2018-04-10,Not_Canceled,2018,3,0.031,40.6
43,INN00044,2,0,1,1,Not Selected,0,Room_Type 1,41,Online,0,0,0,98.1,1,2018-06-27,Canceled,2018,2,0.048,49.05
44,INN00045,2,0,0,4,Meal Plan 1,0,Room_Type 4,55,Offline,0,0,0,60.0,1,2017-11-18,Not_Canceled,2017,4,0.071,15.0
45,INN00046,2,0,0,3,Meal Plan 1,0,Room_Type 1,146,Offline,0,0,0,75.0,0,2017-12-29,Not_Canceled,2017,3,0.02,25.0
46,INN00047,1,0,0,2,Meal Plan 1,0,Room_Type 1,32,Offline,0,0,0,73.0,0,2017-11-20,Not_Canceled,2017,2,0.061,36.5
47,INN00048,2,0,0,1,Meal Plan 2,0,Room_Type 1,55,Offline,0,0,0,104.0,0,2018-04-06,Not_Canceled,2018,1,0.018,104.0
48,INN00049,2,0,0,4,Not Selected,0,Room_Type 1,57,Online,0,0,0,79.2,1,2018-11-01,Not_Canceled,2018,4,0.069,19.8
49,INN00050,1,0,1,3,Meal Plan 1,0,Room_Type 4,7,Online,0,0,0,125.8,2,2018-12-29,Not_Canceled,2018,4,0.5,31.45
50,INN00051,1,0,2,5,Not Selected,0,Room_Type 1,124,Online,0,0,0,87.95,0,2018-05-30,Not_Canceled,2018,7,0.056,12.564
51,INN00052,2,0,2,2,Meal Plan 2,0,Room_Type 1,169,Online,0,0,0,106.0,0,2018-04-22,Canceled,2018,4,0.024,26.5
52,INN00053,1,0,1,2,Meal Plan 1,0,Room_Type 1,6,Online,0,0,0,136.67,1,2018-05-16,Not_Canceled,2018,3,0.429,45.557
53,INN00054,2,0,0,4,Meal Plan 1,0,Room_Type 4,51,Offline,0,0,0,60.0,1,2017-11-11,Not_Canceled,2017,4,0.077,15.0
54,INN00055,2,0,1,0,Not Selected,0,Room_Type 1,13,Online,0,0,0,89.0,2,2018-06-13,Not_Canceled,2018,1,0.071,89.0
55,INN00056,2,0,1,3,Meal Plan 1,0,Room_Type 1,100,Online,0,0,0,136.0,1,2018-05-19,Not_Canceled,2018,4,0.04,34.0
56,INN00057,2,0,0,1,Not Selected,0,Room_Type 1,139,Online,0,0,0,94.5,1,2018-07-28,Not_Canceled,2018,1,0.007,94.5
57,INN00058,2,0,1,2,Meal Plan 1,0,Room_Type 1,117,Online,0,0,0,93.6,2,2018-12-26,Not_Canceled,2018,3,0.025,31.2
58,INN00059,2,0,1,4,Meal Plan 1,0,Room_Type 4,39,Online,0,0,0,120.6,0,2018-04-20,Canceled,2018,5,0.125,24.12
59,INN00060,2,0,0,3,Meal Plan 1,0,Room_Type 4,86,Online,0,0,0,99.3,1,2018-04-06,Not_Canceled,2018,3,0.034,33.1
60,INN00061,2,2,0,1,Meal Plan 1,1,Room_Type 6,2,Online,0,0,0,258.0,1,2018-09-02,Not_Canceled,2018,1,0.333,258.0
61,INN00062,1,0,0,3,Meal Plan 1,0,Room_Type 4,19,Online,0,0,0,120.12,2,2018-05-03,Not_Canceled,2018,3,0.15,40.04
62,INN00063,1,0,0,2,Meal Plan 1,0,Room_Type 1,192,Offline,0,0,0,95.0,0,2018-06-24,Not_Canceled,2018,2,0.01,47.5
63,INN00064,1,0,0,1,Meal Plan 1,0,Room_Type 1,2,Complementary,0,0,0,0.0,1,2017-09-10,Not_Canceled,2017,1,0.333,0.0
64,INN00065,2,0,2,1,Meal Plan 1,0,Room_Type 1,86,Offline,0,0,0,75.0,0,2018-12-18,Not_Canceled,2018,3,0.034,25.0
65,INN00066,2,0,0,3,Meal Plan 1,0,Room_Type 4,30,Online,0,0,0,157.5,2,2018-10-05,Not_Canceled,2018,3,0.097,52.5
66,INN00067,2,0,0,2,Meal Plan 1,0,Room_Type 4,179,Online,0,0,0,97.7,1,2018-06-03,Not_Canceled,2018,2,0.011,48.85
67,INN00068,2,0,0,2,Meal Plan 1,0,Room_Type 4,26,Online,0,0,0,142.0,0,2018-04-15,Canceled,2018,2,0.074,71.0
68,INN00069,2,0,0,1,Meal Plan 1,0,Room_Type 1,55,Offline,0,0,0,80.0,0,2018-04-06,Not_Canceled,2018,1,0.018,80.0
69,INN00070,2,0,1,2,Meal Plan 1,0,Room_Type 1,74,Online,0,0,0,85.5,1,2018-04-25,Not_Canceled,2018,3,0.04,28.5
70,INN00071,2,0,0,3,Meal Plan 1,0,Room_Type 1,143,Offline,0,0,0,100.0,0,2018-08-25,Not_Canceled,2018,3,0.021,33.333
71,INN00072,2,0,1,0,Not Selected,0,Room_Type 1,34,Online,0,0,0,88.0,2,2018-11-14,Not_Canceled,2018,1,0.029,88.0
72,INN00073,2,0,1,1,Meal Plan 1,1,Room_Type 1,30,Online,0,0,0,122.85,1,2018-08-29,Not_Canceled,2018,2,0.065,61.425
73,INN00074,2,0,0,2,Meal Plan 1,0,Room_Type 1,177,Online,0,0,0,100.0,0,2018-06-03,Canceled,2018,2,0.011,50.0
74,INN00075,2,0,2,3,Meal Plan 1,0,Room_Type 4,34,Offline,0,0,0,75.0,0,2017-10-25,Not_Canceled,2017,5,0.143,15.0
75,INN00076,2,0,1,4,Meal Plan 1,0,Room_Type 4,18,Online,0,0,0,116.8,1,2018-03-09,Not_Canceled,2018,5,0.263,23.36
76,INN00077,3,0,1,1,Meal Plan 1,0,Room_Type 4,267,Online,0,0,0,121.5,0,2018-12-31,Not_Canceled,2018,2,0.007,60.75
77,INN00078,2,0,1,2,Meal Plan 1,0,Room_Type 1,64,Online,0,0,0,111.9,1,2018-06-27,Not_Canceled,2018,3,0.046,37.3
78,INN00079,3,0,2,5,Meal Plan 1,0,Room_Type 4,155,Online,0,0,0,121.55,2,2018-06-28,Canceled,2018,7,0.045,17.364
79,INN00080,2,0,0,5,Meal Plan 1,0,Room_Type 1,46,Offline,0,0,0,75.0,1,2018-03-29,Not_Canceled,2018,5,0.106,15.0
80,INN00081,2,2,0,2,Meal Plan 1,0,Room_Type 6,83,Online,0,0,0,159.3,0,2018-04-01,Canceled,2018,2,0.024,79.65
81,INN00082,2,0,0,5,Meal Plan 1,0,Room_Type 4,128,Online,0,0,0,132.3,0,2018-10-11,Canceled,2018,5,0.039,26.46
82,INN00083,2,0,2,0,Not Selected,0,Room_Type 1,20,Online,0,0,0,88.0,2,2018-12-25,Not_Canceled,2018,2,0.095,44.0
83,INN00084,2,0,1,4,Meal Plan 1,0,Room_Type 4,40,Online,0,0,0,98.82,0,2018-03-14,Not_Canceled,2018,5,0.122,19.764
84,INN00085,2,0,1,2,Meal Plan 1,1,Room_Type 4,46,Online,0,0,0,98.3,1,2018-03-04,Not_Canceled,2018,3,0.064,32.767
85,INN00086,1,0,1,0,Meal Plan 1,0,Room_Type 1,1,Online,0,0,0,150.0,2,2018-10-17,Not_Canceled,2018,1,0.5,150.0
86,INN00087,2,0,2,3,Not Selected,0,Room_Type 1,196,Online,0,0,0,96.05,1,2018-09-04,Not_Canceled,2018,5,0.025,19.21
87,INN00088,1,0,0,2,Meal Plan 1,0,Room_Type 1,188,Online,0,0,0,130.0,0,2018-06-15,Canceled,2018,2,0.011,65.0
88,INN00089,2,0,0,1,Not Selected,0,Room_Type 1,17,Online,1,0,5,95.0,0,2018-12-10,Not_Canceled,2018,1,0.056,95.0
89,INN00090,2,0,0,3,Meal Plan 1,0,Room_Type 5,146,Offline,0,0,0,113.56,0,2018-08-09,Not_Canceled,2018,3,0.02,37.853
90,INN00091,2,0,1,3,Not Selected,0,Room_Type 1,110,Online,0,0,0,101.58,1,2018-05-05,Not_Canceled,2018,4,0.036,25.395
91,INN00092,2,0,1,2,Meal Plan 1,1,Room_Type 1,68,Online,0,0,0,105.3,0,2018-03-18,Not_Canceled,2018,3,0.043,35.1
92,INN00093,2,0,2,1,Meal Plan 1,0,Room_Type 4,73,Online,0,0,0,115.8,1,2018-04-09,Not_Canceled,2018,3,0.041,38.6
93,INN00094,2,0,0,1,Meal Plan 1,0,Room_Type 4,92,Online,0,0,0,149.4,1,2018-05-19,Not_Canceled,2018,1,0.011,149.4
94,INN00095,2,0,2,5,Meal Plan 1,0,Room_Type 1,171,Online,0,0,0,111.59,0,2018-08-30,Canceled,2018,7,0.041,15.941
95,INN00096,2,1,0,2,Meal Plan 1,1,Room_Type 1,134,Online,0,0,0,130.5,2,2018-08-04,Not_Canceled,2018,2,0.015,65.25
96,INN00097,2,0,0,2,Meal Plan 2,0,Room_Type 1,320,Online,0,0,0,115.0,1,2018-08-18,Canceled,2018,2,0.006,57.5
97,INN00098,2,0,0,4,Meal Plan 1,0,Room_Type 1,118,Online,0,0,0,90.95,1,2018-04-13,Not_Canceled,2018,4,0.034,22.738
98,INN00099,2,0,0,3,Meal Plan 1,0,Room_Type 1,30,Online,0,0,0,76.08,1,2018-11-17,Not_Canceled,2018,3,0.097,25.36
99,INN00100,2,2,1,3,Meal Plan 1,0,Room_Type 6,30,Online,0,0,0,156.9,0,2018-12-22,Not_Canceled,2018,4,0.129,39.225
100,INN00101,2,0,1,0,Not Selected,0,Room_Type 1,189,Online,0,0,0,85.5,2,2018-10-23,Not_Canceled,2018,1,0.005,85.5
101,INN00102,3,0,1,2,Meal Plan 1,0,Room_Type 4,55,Online,0,0,0,159.3,2,2018-05-13,Not_Canceled,2018,3,0.054,53.1
102,INN00103,1,0,0,4,Meal Plan 1,0,Room_Type 1,55,Online,0,0,0,74.8,2,2018-12-13,Not_Canceled,2018,4,0.071,18.7
103,INN00104,2,0,0,1,Meal Plan 1,0,Room_Type 1,16,Online,0,0,0,95.0,1,2017-10-31,Not_Canceled,2017,1,0.059,95.0
104,INN00105,2,0,0,3,Meal Plan 1,0,Room_Type 1,24,Online,0,0,0,107.0,1,2017-10-08,Not_Canceled,2017,3,0.12,35.667
105,INN00106,2,0,0,3,Meal Plan 1,0,Room_Type 1,8,Offline,0,0,0,64.0,0,2018-02-16,Not_Canceled,2018,3,0.333,21.333
106,INN00107,2,0,1,4,Meal Plan 1,1,Room_Type 1,10,Online,0,0,0,82.95,0,2017-11-02,Not_Canceled,2017,5,0.455,16.59
107,INN00108,2,0,1,3,Meal Plan 1,0,Room_Type 4,0,Online,0,0,0,155.0,1,2017-09-21,Not_Canceled,2017,4,4.0,38.75
108,INN00109,2,0,0,1,Not Selected,0,Room_Type 1,12,Online,0,0,0,101.68,1,2018-06-30,Not_Canceled,2018,1,0.077,101.68
109,INN00110,2,0,2,1,Meal Plan 1,0,Room_Type 1,32,Online,0,0,0,94.5,3,2017-09-05,Not_Canceled,2017,3,0.091,31.5
110,INN00111,2,0,0,2,Meal Plan 1,0,Room_Type 1,182,Online,0,0,0,117.9,2,2018-09-30,Canceled,2018,2,0.011,58.95
111,INN00112,2,0,1,0,Not Selected,0,Room_Type 1,1,Online,0,0,0,127.0,1,2018-06-27,Not_Canceled,2018,1,0.5,127.0
112,INN00113,2,0,0,3,Not Selected,0,Room_Type 1,122,Online,0,0,0,116.1,2,2018-06-16,Not_Canceled,2018,3,0.024,38.7
113,INN00114,2,0,2,3,Meal Plan 1,0,Room_Type 1,40,Online,0,0,0,117.9,1,2018-06-30,Not_Canceled,2018,5,0.122,23.58
114,INN00115,2,2,2,2,Meal Plan 1,0,Room_Type 2,116,Online,0,0,0,184.24,1,2018-06-26,Canceled,2018,4,0.034,46.06
115,INN00116,3,0,2,2,Meal Plan 1,1,Room_Type 4,123,Online,0,0,0,155.7,1,2018-08-13,Not_Canceled,2018,4,0.032,38.925
116,INN00117,3,0,2,5,Meal Plan 1,0,Room_Type 4,40,Online,0,0,0,135.76,0,2018-04-22,Canceled,2018,7,0.171,19.394
117,INN00118,2,1,2,5,Meal Plan 1,0,Room_Type 1,105,Online,0,0,0,102.83,3,2018-11-12,Not_Canceled,2018,7,0.066,14.69
118,INN00119,2,0,0,1,Meal Plan 1,0,Room_Type 1,443,Online,0,0,0,65.0,0,2018-04-29,Canceled,2018,1,0.002,65.0
119,INN00120,2,0,2,3,Meal Plan 1,0,Room_Type 1,2,Online,0,0,0,103.0,1,2017-11-14,Not_Canceled,2017,5,1.667,20.6
120,INN00121,2,0,0,3,Meal Plan 1,0,Room_Type 1,317,Online,0,0,0,106.2,1,2018-09-01,Canceled,2018,3,0.009,35.4
121,INN00122,2,0,0,2,Meal Plan 2,0,Room_Type 1,286,Offline,0,0,0,58.5,0,2018-09-16,Not_Canceled,2018,2,0.007,29.25
122,INN00123,2,0,1,3,Meal Plan 1,0,Room_Type 1,68,Online,0,0,0,73.95,0,2018-03-10,Canceled,2018,4,0.058,18.488
123,INN00124,2,0,0,3,Meal Plan 1,0,Room_Type 1,148,Online,0,0,0,105.3,0,2018-05-05,Not_Canceled,2018,3,0.02,35.1
124,INN00125,3,0,2,0,Meal Plan 1,0,Room_Type 4,68,Online,0,0,0,133.2,2,2018-04-24,Not_Canceled,2018,2,0.029,66.6
125,INN00126,2,0,0,2,Meal Plan 1,0,Room_Type 1,30,Offline,0,0,0,85.5,0,2018-03-30,Not_Canceled,2018,2,0.065,42.75
126,INN00127,1,0,0,1,Meal Plan 1,0,Room_Type 1,14,Online,0,0,0,112.0,1,2018-11-03,Canceled,2018,1,0.067,112.0
127,INN00128,2,2,0,2,Meal Plan 1,0,Room_Type 6,110,Online,0,0,0,190.8,0,2018-10-14,Canceled,2018,2,0.018,95.4
128,INN00129,1,0,2,3,Meal Plan 1,0,Room_Type 1,117,Offline,0,0,0,110.0,0,2018-06-05,Not_Canceled,2018,5,0.042,22.0
129,INN00130,2,0,1,4,Meal Plan 1,0,Room_Type 4,85,Online,0,0,0,91.48,1,2018-07-13,Not_Canceled,2018,5,0.058,18.296
130,INN00131,2,0,0,2,Not Selected,0,Room_Type 1,1,Online,0,0,0,135.0,2,2018-10-20,Not_Canceled,2018,2,1.0,67.5
131,INN00132,1,0,1,2,Meal Plan 1,0,Room_Type 1,25,Online,0,0,0,129.0,2,2018-10-17,Not_Canceled,2018,3,0.115,43.0
132,INN00133,2,0,2,4,Not Selected,0,Room_Type 1,289,Online,0,0,0,70.55,2,2018-12-28,Canceled,2018,6,0.021,11.758
133,INN00134,2,0,1,4,Meal Plan 1,0,Room_Type 4,28,Offline,0,0,0,75.0,0,2017-10-19,Not_Canceled,2017,5,0.172,15.0
134,INN00135,1,0,0,4,Not Selected,0,Room_Type 1,80,Online,0,0,0,72.25,0,2018-03-29,Not_Canceled,2018,4,0.049,18.062
135,INN00136,2,0,0,1,Meal Plan 1,0,Room_Type 4,11,Online,0,0,0,155.0,2,2017-10-09,Not_Canceled,2017,1,0.083,155.0
136,INN00137,2,1,1,0,Meal Plan 1,0,Room_Type 1,162,Online,0,0,0,121.5,2,2018-07-25,Canceled,2018,1,0.006,121.5
137,INN00138,2,0,2,5,Meal Plan 1,0,Room_Type 1,155,Online,0,0,0,90.95,2,2018-06-28,Not_Canceled,2018,7,0.045,12.993
138,INN00139,1,0,2,2,Meal Plan 1,0,Room_Type 1,82,Online,0,0,0,109.65,0,2018-05-22,Not_Canceled,2018,4,0.048,27.412
139,INN00140,3,0,2,4,Meal Plan 1,0,Room_Type 4,27,Online,0,0,0,142.72,0,2018-04-15,Canceled,2018,6,0.214,23.787
140,INN00141,1,0,1,2,Meal Plan 1,0,Room_Type 1,13,Offline,0,0,0,90.0,0,2018-05-09,Not_Canceled,2018,3,0.214,30.0
141,INN00142,2,0,0,2,Meal Plan 1,0,Room_Type 1,245,Online,0,0,0,75.0,0,2018-06-17,Canceled,2018,2,0.008,37.5
142,INN00143,2,0,0,2,Meal Plan 1,0,Room_Type 1,11,Online,0,0,0,111.0,1,2018-11-18,Canceled,2018,2,0.167,55.5
143,INN00144,2,0,2,2,Meal Plan 1,0,Room_Type 1,266,Online,0,0,0,86.7,2,2018-10-30,Not_Canceled,2018,4,0.015,21.675
144,INN00145,2,0,1,0,Meal Plan 1,0,Room_Type 1,39,Online,0,0,0,117.9,1,2018-03-28,Not_Canceled,2018,1,0.025,117.9
145,INN00146,1,0,0,2,Meal Plan 1,0,Room_Type 1,13,Complementary,1,3,5,0.0,1,2018-06-01,Not_Canceled,2018,2,0.143,0.0
146,INN00147,2,0,0,4,Not Selected,0,Room_Type 1,112,Online,0,0,0,101.58,1,2018-05-04,Not_Canceled,2018,4,0.035,25.395
147,INN00148,2,0,1,2,Not Selected,0,Room_Type 1,88,Online,0,0,0,58.9,1,2018-04-08,Not_Canceled,2018,3,0.034,19.633
148,INN00149,2,0,0,1,Meal Plan 1,0,Room_Type 1,56,Offline,0,0,0,120.0,0,2018-06-08,Not_Canceled,2018,1,0.018,120.0
149,INN00150,2,0,2,3,Meal Plan 1,0,Room_Type 4,73,Online,0,0,0,107.1,0,2018-04-07,Canceled,2018,5,0.068,21.42
150,INN00151,2,0,1,1,Meal Plan 1,0,Room_Type 1,80,Online,0,0,0,126.9,1,2018-05-02,Not_Canceled,2018,2,0.025,63.45
151,INN00152,2,0,0,3,Meal Plan 1,0,Room_Type 4,130,Online,0,0,0,139.5,2,2018-09-29,Canceled,2018,3,0.023,46.5
152,INN00153,2,0,1,3,Not Selected,0,Room_Type 1,69,Online,0,0,0,80.75,1,2018-04-04,Not_Canceled,2018,4,0.057,20.188
153,INN00154,2,0,0,2,Meal Plan 2,0,Room_Type 1,273,Online,0,0,0,109.0,0,2017-07-17,Canceled,2017,2,0.007,54.5
154,INN00155,2,0,0,1,Meal Plan 2,0,Room_Type 1,55,Offline,0,0,0,104.0,0,2018-04-06,Not_Canceled,2018,1,0.018,104.0
155,INN00156,1,0,0,3,Meal Plan 1,0,Room_Type 1,4,Corporate,1,1,5,65.0,1,2018-11-01,Not_Canceled,2018,3,0.6,21.667
156,INN00157,2,0,0,3,Meal Plan 1,0,Room_Type 4,97,Online,0,0,0,140.4,0,2018-05-24,Not_Canceled,2018,3,0.031,46.8
157,INN00158,2,0,0,3,Meal Plan 1,0,Room_Type 1,44,Offline,0,0,0,75.0,0,2018-02-17,Not_Canceled,2018,3,0.067,25.0
158,INN00159,2,0,0,1,Not Selected,0,Room_Type 1,31,Online,0,0,0,94.5,0,2018-04-14,Canceled,2018,1,0.031,94.5
159,INN00160,2,0,1,0,Not Selected,0,Room_Type 1,0,Online,0,0,0,109.0,0,2018-06-05,Not_Canceled,2018,1,1.0,109.0
160,INN00161,2,0,2,2,Meal Plan 1,0,Room_Type 1,62,Online,0,0,0,105.0,2,2018-11-12,Not_Canceled,2018,4,0.063,26.25
161,INN00162,2,0,2,2,Meal Plan 1,0,Room_Type 4,86,Online,0,0,0,107.95,1,2018-04-17,Not_Canceled,2018,4,0.046,26.988
162,INN00163,3,0,2,2,Meal Plan 1,0,Room_Type 7,3,Online,0,0,0,215.6,1,2018-10-07,Not_Canceled,2018,4,1.0,53.9
163,INN00164,2,0,1,1,Not Selected,0,Room_Type 1,197,Online,0,0,0,85.5,1,2018-08-01,Not_Canceled,2018,2,0.01,42.75
164,INN00165,2,0,0,2,Meal Plan 1,0,Room_Type 1,143,Online,0,0,0,105.3,2,2018-07-12,Not_Canceled,2018,2,0.014,52.65
165,INN00166,1,0,2,1,Meal Plan 2,0,Room_Type 1,23,Online,0,0,0,1.0,0,2018-01-02,Not_Canceled,2018,3,0.125,0.333
166,INN00167,2,0,0,2,Meal Plan 1,0,Room_Type 4,8,Online,0,0,0,156.0,0,2018-06-15,Canceled,2018,2,0.222,78.0
167,INN00168,1,0,0,2,Meal Plan 1,0,Room_Type 1,13,Online,0,0,0,73.15,1,2018-11-16,Not_Canceled,2018,2,0.143,36.575
168,INN00169,2,0,1,2,Meal Plan 1,0,Room_Type 1,280,Online,0,0,0,110.0,0,2018-09-19,Canceled,2018,3,0.011,36.667
169,INN00170,2,1,1,0,Not Selected,0,Room_Type 1,11,Online,0,0,0,87.4,1,2017-09-13,Not_Canceled,2017,1,0.083,87.4
170,INN00171,2,0,0,2,Meal Plan 1,0,Room_Type 1,317,Online,0,0,0,120.0,0,2018-09-15,Canceled,2018,2,0.006,60.0
171,INN00172,2,0,1,2,Not Selected,0,Room_Type 1,185,Online,0,0,0,79.2,0,2018-12-16,Canceled,2018,3,0.016,26.4
172,INN00173,2,0,1,3,Meal Plan 1,0,Room_Type 1,160,Online,0,0,0,90.95,1,2018-06-30,Not_Canceled,2018,4,0.025,22.738
173,INN00174,2,0,0,4,Meal Plan 1,0,Room_Type 1,104,Online,0,0,0,91.48,1,2018-10-18,Not_Canceled,2018,4,0.038,22.87
174,INN00175,2,1,0,1,Meal Plan 1,0,Room_Type 1,11,Online,0,0,0,150.0,1,2018-11-05,Canceled,2018,1,0.083,150.0
175,INN00176,2,0,0,1,Not Selected,0,Room_Type 1,2,Online,0,0,0,89.0,0,2018-03-22,Not_Canceled,2018,1,0.333,89.0
176,INN00177,2,0,1,4,Not Selected,0,Room_Type 1,14,Online,0,0,0,91.43,1,2018-08-17,Not_Canceled,2018,5,0.333,18.286
